class,1kHz_cond,2kHz_cond,3kHz_cond,7kHz_cond,11kHz_cond,17kHz_cond,23kHz_cond,31kHz_cond,43kHz_cond,61kHz_cond,89kHz_cond,127kHz_cond,179kHz_cond,251kHz_cond,349kHz_cond
skin,6829.535924,7020.102754,7268.934737,7124.771637,7096.89836,7106.50016,7126.149106,7133.921495,7141.058156,7144.875,7108.218197,7057.499625,6986.415511,6884.743062,6771.205804
skin,5484.041408,5648.460582,5895.642219,5712.697707,5679.337275,5695.857089,5715.533892,5731.354973,5754.839257,5777.583333,5776.163928,5765.771552,5733.163578,5672.579147,5605.114358
skin,5051.815101,5302.693981,5511.705854,5519.562558,5542.521277,5589.149764,5626.479538,5656.435176,5703.808685,5757.458333,5798.947886,5838.833649,5866.468278,5872.684837,5869.253854
skin,5149.575721,5349.756179,5529.297683,5474.974834,5482.594918,5529.902537,5567.812633,5599.184248,5635.415029,5679.083333,5692.832048,5689.031832,5658.228003,5600.135579,5531.996506
skin,5670.509411,5891.106168,6134.084731,5964.544162,5913.801183,5910.894142,5913.299323,5905.765239,5899.025253,5887.291667,5838.864664,5779.501342,5701.576881,5600.706436,5500.119123
skin,6888.588882,7093.60609,7337.84621,7164.597476,7109.78467,7077.339038,7060.106071,7029.373467,6991.237125,6947.333333,6861.945133,6770.841222,6664.418947,6532.188096,6389.31976
skin,5867.171267,6160.787569,6390.893841,6298.409454,6274.216222,6280.478151,6292.901303,6292.668428,6292.492639,6291.958333,6259.38119,6220.227604,6164.498711,6083.871923,5999.762101
skin,6038.481968,6213.567871,6446.228725,6295.786387,6284.224032,6316.807176,6359.271644,6389.403661,6429.427958,6470.5,6487.714129,6489.086315,6473.242116,6430.597947,6378.8791
skin,5098.860488,5138.942009,5265.318562,5048.639126,4973.26915,4933.788232,4915.227217,4892.461322,4869.339033,4850.47861,4807.573373,4768.600254,4714.667458,4648.401598,4577.962198
skin,5492.995153,5716.609755,5974.574507,5899.703217,5896.128528,5928.761449,5955.52177,5972.117381,5990.762065,6012.75,6002.07495,5980.250487,5940.078537,5870.50699,5798.438945
skin,3864.076238,4133.979538,4289.877072,4249.11059,4230.394761,4228.156325,4238.93339,4243.403657,4250.513147,4266.524542,4272.558817,4292.44177,4320.951928,4356.522049,4419.147078
skin,1582.428261,1679.92728,1719.651334,1785.788166,1810.504946,1827.724716,1834.680951,1838.291617,1838.213237,1833.739507,1817.935545,1798.407011,1779.856026,1765.085871,1757.284444
skin,5481.815715,5570.342305,5729.902045,5468.896775,5378.846502,5325.717614,5301.435348,5271.308017,5241.367538,5217.41881,5171.000866,5122.225312,5060.600154,4978.014842,4888.873888
skin,6156.805492,6219.347765,6399.915514,6134.211836,6067.566663,6063.238279,6079.679766,6088.856388,6108.270302,6129,6114.380131,6083.469088,6030.03436,5945.066216,5853.744179
skin,5668.088539,5560.417364,5622.442858,5341.578639,5244.869319,5183.498621,5159.882979,5127.848101,5099.03371,5067.492477,5013.364545,4949.597339,4865.526031,4751.555587,4624.563215
skin,6249.832262,6206.406441,6367.531529,6106.285765,6053.207631,6065.65089,6094.62673,6110.709568,6137.154788,6160.25,6140.931516,6097.983437,6024.291324,5907.914712,5779.146421
skin,5869.646541,5989.646314,6186.56912,5950.085303,5879.794712,5851.662798,5844.165067,5829.071523,5815.563668,5801.375,5748.805238,5686.678154,5611.135377,5512.394748,5397.268107
skin,7249.897241,7393.39933,7771.11698,7540.079343,7501.406378,7538.088648,7601.798225,7649.494646,7706.842583,7781.768353,7776.927921,7749.67092,7665.419311,7520.573942,7396.071723
skin,1865.070984,1890.424217,1906.995143,1927.454788,1939.181797,1953.30055,1962.802736,1972.830325,1986.165341,2120.982707,2254.148906,2360.752291,2441.255011,2504.48505,2561.742446
skin,4375.510055,4905.600708,5169.387167,5326.440831,5390.797972,5465.730865,5512.582507,5549.78903,5581.306125,5608.532382,5597.419152,5566.549131,5504.304601,5403.360925,5286.769377
skin,5410.389638,5512.112158,5638.407697,5563.416328,5552.275608,5571.632077,5590.554449,5604.050633,5618.938033,5635.148807,5627.870013,5614.160975,5579.45226,5522.613101,5452.374524
skin,4978.486141,5358.017402,5578.168393,5642.224672,5701.227268,5796.277644,5858.384685,5910.218909,5962.271638,6009.083333,6020.149626,6004.326655,5965.259541,5884.662994,5792.915987
skin,4292.632699,5001.235837,5333.936864,5635.894316,5799.598349,5983.167572,6088.735226,6178.043027,6262.859442,6334.458333,6364.016968,6357.133225,6319.947233,6237.986613,6136.92816
skin,6169.399467,6650.978979,6990.732215,6999.504176,7024.2999,7071.185132,7104.510557,7119.730138,7132.822334,7136.208333,7097.454122,7039.356689,6959.522641,6846.054254,6710.831554
skin,7226.069332,7447.363804,7898.752218,7575.436422,7461.390237,7418.70599,7400.976866,7367.625967,7325.516928,7278.333333,7184.687979,7078.48659,6954.33182,6791.99241,6614.482422
